Company,Website,Email,Phone,City,Notes
ManpowerGroup India,https://www.manpowergroup.co.in,enquiry@manpowergroup.com,0124-6795400,Gurgaon,Global staffing leader
ManpowerGroup India,https://www.manpowergroup.co.in,enquiry@manpower.co.in,180012012000,Gurgaon,Alternate contact
Randstad India,https://www.randstad.in,manjulakshmi.p@randstad.in,040-66508000,Hyderabad,Global HR firm
GlobalHunt India,https://www.globalhunt.in,jobs@globalhunt.in,+91-120-3580000,Noida,Executive search firm
GlobalHunt India,https://www.globalhunt.in,corporate@globalhunt.in,+91-9958454422,Noida,Business enquiries
Innovsource,https://www.innovsource.com,sales@innov.in,1800-22-4456,Mumbai,Large workforce solutions
Perito Recruitment,https://www.perito.co.in,info@perito.co.in,0120-4336792,Noida,Pan-India staffing
Perito Recruitment,https://www.perito.co.in,info@tekinspirations.com,830-355-9008,USA/India,International office
Job Hub HR,https://jobhubhr.com,info@jobhubhr.com,+91-7349287268,Bangalore,HR consultancy
Delta Recruitment,https://www.deltarecruitmentconsultants.com,enquiry@deltarecruitmentconsultants.com,+91-250-6055700,Mumbai,Engineering staffing
Delta Recruitment,https://www.deltarecruitmentconsultants.com,career@deltarecruitmentconsultants.com,+91-250-6055700,Mumbai,Candidate contact
Lobo Staffing,https://www.lobostaffing.com,[email protected],+91-8043009774,Bangalore,Staffing solutions
Pyramid IT Consulting,https://www.pyramidci.com,[email protected],+91-120-3883400,Noida,IT staffing
Hi Tech Informatics,https://hitechinformatics.com,N/A,N/A,Bangalore,IT staffing
Smash Career Solutions,N/A,N/A,N/A,Cuttack,Local staffing
Head Field Solutions,N/A,N/A,N/A,Noida,Recruitment firm
ABC Consultants,https://www.abcconsultants.in,N/A,N/A,Delhi,Top executive search
TeamLease Services,https://www.teamlease.com,N/A,N/A,Bangalore,Large staffing company
Quess Corp,https://www.quesscorp.com,N/A,N/A,Bangalore,Workforce management
Adecco India,https://www.adecco.co.in,N/A,N/A,Bangalore,Global staffing firm
Kelly Services India,https://www.kellyservices.co.in,N/A,N/A,India,HR solutions
Allegis Group,https://www.allegisgroup.com,N/A,N/A,India,Global staffing
GI Group India,https://www.gigroup.com,N/A,N/A,India,Workforce solutions
Ciel HR,https://www.cielhr.com,N/A,N/A,India,Recruitment firm
PeopleStrong,https://www.peoplestrong.com,N/A,N/A,Gurgaon,HR SaaS + staffing
NLB Services,https://www.nlbservices.com,N/A,N/A,India,IT staffing
US Tech Solutions,https://www.ustechsolutions.com,N/A,N/A,India,IT workforce
Artech Systems,https://www.artech.com,N/A,N/A,India,Engineering staffing
Spectraforce,https://www.spectraforce.com,N/A,N/A,India,Global staffing
2COMS Consulting,https://www.2coms.com,N/A,N/A,Kolkata,HR services
TMI Group,https://www.tmigroup.co.in,N/A,N/A,India,Recruitment firm
Xpheno,https://www.xpheno.com,N/A,N/A,Bangalore,Specialized hiring
Talent Corner,https://www.talentcorner.in,N/A,N/A,Mumbai,Recruitment firm
Apex Services,https://www.apexservices.in,N/A,N/A,India,Staffing firm
Vision India,https://www.visionindiastaffing.com,N/A,N/A,India,Workforce solutions
CareerNet,https://www.careernet.in,N/A,N/A,Bangalore,Tech hiring
Zyoin Group,https://www.zyoin.com,N/A,N/A,Bangalore,Startup hiring
Crescendo Global,https://www.crescendo-global.com,N/A,N/A,India,Executive hiring
Aasaanjobs,https://www.aasaanjobs.com,N/A,N/A,Mumbai,Entry-level hiring
TalentPro India,https://www.talentproindia.com,N/A,N/A,India,HR outsourcing
Net2Source India,https://www.net2source.com,N/A,N/A,India,IT staffing
Acro HR Solutions,https://www.acrocorp.com,N/A,N/A,India,Staffing firm
Magna Infotech,https://www.magna.in,N/A,N/A,Bangalore,IT staffing
Innovsource,https://www.innovsource.com,N/A,N/A,Mumbai,Workforce solutions
Peoplefy,https://www.peoplefy.com,N/A,N/A,Pune,Recruitment firm
Mancer Consulting,https://www.mancerconsulting.com,N/A,N/A,India,Executive search
