Company,Website,Email,Phone,City,Notes,Specialization,Yupcha Value Prop,Company Need
ManpowerGroup India,https://www.manpowergroup.co.in,enquiry@manpowergroup.com,0124-6795400,Gurgaon,Global staffing leader,,"Unified Superadmin Console for multi-database CRM tracking, candidate visibility, and automated reporting","Centralized Candidate, Attendance, and Client Management System"
Randstad India,https://www.randstad.in,manjulakshmi.p@randstad.in,040-66508000,Hyderabad,Global HR firm,,"Unified Superadmin Console for multi-database CRM tracking, candidate visibility, and automated reporting","Centralized Candidate, Attendance, and Client Management System"
GlobalHunt India,https://www.globalhunt.in,jobs@globalhunt.in,+91-120-3580000,Noida,Executive search firm,,"Unified Superadmin Console for multi-database CRM tracking, candidate visibility, and automated reporting","Centralized Candidate, Attendance, and Client Management System"
Innovsource,https://www.innovsource.com,sales@innov.in,1800-22-4456,Mumbai,Large workforce solutions,,"Unified Superadmin Console for multi-database CRM tracking, candidate visibility, and automated reporting","Centralized Candidate, Attendance, and Client Management System"
Perito Recruitment,https://www.perito.co.in,info@perito.co.in,0120-4336792,Noida,Pan-India staffing,,"Unified Superadmin Console for multi-database CRM tracking, candidate visibility, and automated reporting","Centralized Candidate, Attendance, and Client Management System"
Job Hub HR,https://jobhubhr.com,info@jobhubhr.com,+91-7349287268,Bangalore,HR consultancy,,"Unified Superadmin Console for multi-database CRM tracking, candidate visibility, and automated reporting","Centralized Candidate, Attendance, and Client Management System"
Delta Recruitment,https://www.deltarecruitmentconsultants.com,enquiry@deltarecruitmentconsultants.com,+91-250-6055700,Mumbai,Engineering staffing,,"Unified Superadmin Console for multi-database CRM tracking, candidate visibility, and automated reporting","Centralized Candidate, Attendance, and Client Management System"
Lobo Staffing,https://www.lobostaffing.com,[email protected],+91-8043009774,Bangalore,Staffing solutions,,"Unified Superadmin Console for multi-database CRM tracking, candidate visibility, and automated reporting","Centralized Candidate, Attendance, and Client Management System"
Pyramid IT Consulting,https://www.pyramidci.com,[email protected],+91-120-3883400,Noida,IT staffing,,"Unified Superadmin Console for multi-database CRM tracking, candidate visibility, and automated reporting","Centralized Candidate, Attendance, and Client Management System"
Hi Tech Informatics,https://hitechinformatics.com,,,Bangalore,IT staffing,,"Unified Superadmin Console for multi-database CRM tracking, candidate visibility, and automated reporting","Centralized Candidate, Attendance, and Client Management System"
Smash Career Solutions,,,,Cuttack,Local staffing,,"Unified Superadmin Console for multi-database CRM tracking, candidate visibility, and automated reporting","Centralized Candidate, Attendance, and Client Management System"
Head Field Solutions,,,,Noida,Recruitment firm,,"Unified Superadmin Console for multi-database CRM tracking, candidate visibility, and automated reporting","Centralized Candidate, Attendance, and Client Management System"
